                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.57128,                 0.3732,                0.99055,                0.98161,                0.96308,                0.98267,                0.87501,                0.51497,                0.30153,                 0.8362,              0.0010093,              0.0010093,              0.0010093
                     91,                0.56464,                0.36482,                0.98353,                0.96311,                0.96566,                0.96449,                0.86961,                0.52744,                0.32456,                0.84482,              0.0010046,              0.0010046,              0.0010046
                     92,                0.57366,                0.39179,                 0.9819,                0.98164,                0.96642,                0.96953,                0.85849,                0.56057,                0.34007,                0.86382,             0.00099987,             0.00099987,             0.00099987
                     93,                0.57642,                0.37713,                0.99343,                0.98014,                0.98504,                0.98203,                 0.8779,                0.54062,                0.29802,                0.86696,             0.00099516,             0.00099516,             0.00099516
                     94,                0.54997,                0.36195,                0.97363,                0.97087,                0.97829,                0.98363,                0.86635,                0.54752,                0.32687,                0.84837,             0.00099044,             0.00099044,             0.00099044
                     95,                0.56965,                0.35752,                0.98543,                0.96172,                0.95018,                0.97513,                0.86622,                0.50272,                0.32427,                 0.8172,             0.00098572,             0.00098572,             0.00098572
                     96,                0.56161,                0.36352,                0.96928,                0.97977,                 0.9623,                0.98438,                0.87486,                0.50196,                 0.2818,                0.81537,             0.00098101,             0.00098101,             0.00098101
                     97,                0.56212,                0.36512,                0.98622,                0.98067,                0.98931,                0.98686,                0.88007,                0.52783,                0.29308,                0.84709,             0.00097629,             0.00097629,             0.00097629
                     98,                0.53983,                0.36026,                0.96532,                 0.9829,                 0.9721,                0.98925,                0.88954,                0.49045,                0.28465,                0.83463,             0.00097158,             0.00097158,             0.00097158
                     99,                0.55209,                0.36767,                0.97941,                0.95217,                0.97749,                0.97759,                0.87095,                0.52037,                0.31619,                0.83907,             0.00096686,             0.00096686,             0.00096686
                    100,                0.54441,                0.35548,                0.97339,                0.94735,                0.97022,                0.97866,                0.86103,                0.55371,                0.31991,                0.85032,             0.00096215,             0.00096215,             0.00096215
                    101,                0.53305,                0.34653,                0.97218,                0.97431,                0.95836,                0.98647,                0.87234,                0.53321,                0.33391,                0.83415,             0.00095743,             0.00095743,             0.00095743
                    102,                0.56767,                 0.3602,                0.99448,                0.98087,                0.95318,                0.98753,                0.89148,                0.50048,                0.29975,                0.81745,             0.00095271,             0.00095271,             0.00095271
                    103,                0.54927,                0.34592,                0.97752,                 0.9799,                0.97062,                0.98368,                0.86305,                0.53328,                0.29674,                0.84471,               0.000948,               0.000948,               0.000948
                    104,                0.54677,                0.34892,                0.96482,                0.97594,                0.96253,                0.97887,                0.88459,                0.47014,                0.29673,                0.80485,             0.00094328,             0.00094328,             0.00094328
                    105,                 0.5305,                0.32559,                0.95461,                0.98501,                0.97814,                 0.9871,                0.87481,                0.52052,                0.28389,                0.82513,             0.00093857,             0.00093857,             0.00093857
                    106,                0.55315,                0.34254,                0.97641,                0.98643,                0.97124,                0.98544,                0.88658,                0.49564,                0.28729,                0.81421,             0.00093385,             0.00093385,             0.00093385
                    107,                0.55279,                0.34311,                0.98231,                0.98961,                0.96666,                0.98377,                0.88419,                0.49412,                0.29296,                0.82147,             0.00092914,             0.00092914,             0.00092914
                    108,                0.50897,                0.33186,                0.96601,                0.96621,                0.97222,                0.98017,                0.88626,                0.48155,                0.30295,                 0.8058,             0.00092442,             0.00092442,             0.00092442
                    109,                0.50899,                0.32855,                0.94732,                0.96538,                0.97476,                0.97245,                0.86383,                0.49735,                0.30324,                  0.835,              0.0009197,              0.0009197,              0.0009197
                    110,                0.52435,                0.35471,                0.96837,                 0.9646,                0.97917,                0.98124,                0.87621,                0.51557,                0.30108,                0.83958,             0.00091499,             0.00091499,             0.00091499
                    111,                 0.5277,                0.34798,                0.97741,                0.98061,                0.98139,                0.98539,                0.86689,                0.59308,                0.29997,                0.88654,             0.00091027,             0.00091027,             0.00091027
                    112,                0.51597,                0.33394,                0.94986,                0.98942,                0.97191,                0.98176,                0.87692,                0.55212,                0.29913,                0.86593,             0.00090556,             0.00090556,             0.00090556
                    113,                0.52441,                0.33974,                0.96188,                0.99033,                0.99306,                0.98558,                0.87705,                0.53039,                0.28274,                0.83441,             0.00090084,             0.00090084,             0.00090084
                    114,                0.50764,                 0.3292,                0.95022,                0.98038,                0.98065,                0.98209,                0.88656,                 0.4759,                0.28028,                 0.8096,             0.00089613,             0.00089613,             0.00089613
                    115,                 0.5195,                0.34425,                0.94894,                0.97245,                0.98611,                0.98538,                0.89144,                0.47873,                0.28807,                  0.816,             0.00089141,             0.00089141,             0.00089141
                    116,                 0.5239,                 0.3442,                 0.9618,                0.98065,                0.96692,                0.98008,                0.85854,                0.58732,                 0.3341,                0.92084,             0.00088669,             0.00088669,             0.00088669
                    117,                0.54221,                0.33942,                 0.9766,                0.97667,                0.97097,                0.98634,                0.88872,                0.50568,                0.31705,                0.82222,             0.00088198,             0.00088198,             0.00088198
                    118,                0.53585,                0.34948,                0.96353,                0.98315,                0.98611,                0.98492,                0.88956,                0.48484,                0.27722,                0.81138,             0.00087726,             0.00087726,             0.00087726
                    119,                0.50321,                 0.3335,                0.94916,                0.98364,                0.98046,                0.98411,                0.89531,                0.46412,                0.27278,                0.80346,             0.00087255,             0.00087255,             0.00087255
                    120,                0.52355,                0.33178,                0.97002,                0.98758,                0.97912,                0.98857,                0.89831,                0.48602,                 0.2906,                0.81423,             0.00086783,             0.00086783,             0.00086783
                    121,                0.49806,                0.32857,                0.95666,                   0.96,                0.96144,                0.97665,                0.87266,                0.49754,                0.32006,                0.81732,             0.00086312,             0.00086312,             0.00086312
                    122,                0.50611,                0.33251,                0.96071,                0.98836,                0.97004,                0.98483,                0.88045,                0.49543,                0.31646,                0.82263,              0.0008584,              0.0008584,              0.0008584
                    123,                0.50487,                0.32662,                0.95833,                0.98133,                0.98426,                0.98368,                0.87986,                0.52257,                0.28419,                0.86375,             0.00085368,             0.00085368,             0.00085368
                    124,                0.50134,                0.32081,                0.95184,                0.98741,                0.98891,                0.98673,                0.87992,                0.50868,                0.29802,                0.84108,             0.00084897,             0.00084897,             0.00084897
                    125,                0.50122,                0.32231,                0.95841,                0.97409,                0.98611,                  0.985,                0.88145,                0.55165,                0.30661,                0.87304,             0.00084425,             0.00084425,             0.00084425
                    126,                0.51007,                0.32461,                0.96169,                0.94665,                0.95003,                0.95665,                0.85483,                0.56684,                0.34152,                0.90288,             0.00083954,             0.00083954,             0.00083954
                    127,                0.50332,                0.31742,                0.95779,                0.95411,                0.97484,                0.96235,                0.87039,                0.49668,                 0.3373,                0.81127,             0.00083482,             0.00083482,             0.00083482
                    128,                0.50666,                0.31748,                  0.963,                0.97449,                0.97992,                0.97495,                0.88321,                 0.4833,                0.28056,                0.81378,             0.00083011,             0.00083011,             0.00083011
                    129,                0.51386,                0.31993,                0.96681,                0.97786,                0.98463,                0.97843,                0.87676,                0.48923,                0.28883,                0.81465,             0.00082539,             0.00082539,             0.00082539
                    130,                0.48756,                 0.3118,                0.93258,                0.98836,                0.99306,                0.98659,                 0.8819,                0.50819,                0.27271,                0.83009,             0.00082067,             0.00082067,             0.00082067
                    131,                 0.5051,                0.32371,                0.96184,                 0.9829,                0.99212,                0.98883,                0.88871,                0.50024,                0.26577,                0.82729,             0.00081596,             0.00081596,             0.00081596
                    132,                0.50207,                0.33343,                0.95588,                0.97255,                0.98038,                 0.9878,                0.87725,                0.49806,                0.27812,                0.82387,             0.00081124,             0.00081124,             0.00081124
                    133,                0.48114,                0.31581,                0.95658,                0.95882,                 0.9601,                0.97641,                 0.8809,                0.50754,                0.29651,                0.82889,             0.00080653,             0.00080653,             0.00080653
                    134,                0.48836,                0.31239,                0.94255,                 0.9658,                0.98998,                0.98896,                0.88638,                0.49077,                0.27589,                0.81161,             0.00080181,             0.00080181,             0.00080181
                    135,                0.47561,                 0.3191,                0.93671,                0.98185,                0.99638,                0.98895,                0.88686,                0.48692,                0.28844,                0.80328,              0.0007971,              0.0007971,              0.0007971
                    136,                0.48183,                0.31053,                0.94825,                0.95098,                0.98759,                0.98759,                0.88339,                0.51114,                0.30943,                0.82618,             0.00079238,             0.00079238,             0.00079238
                    137,                0.48678,                0.31085,                0.95191,                0.92672,                0.96335,                0.96381,                0.86963,                0.52084,                0.33437,                0.82852,             0.00078766,             0.00078766,             0.00078766
                    138,                0.47102,                0.29569,                0.93601,                0.93912,                0.96917,                0.95355,                0.85553,                0.53169,                  0.308,                0.83317,             0.00078295,             0.00078295,             0.00078295
                    139,                0.48891,                0.31518,                0.94499,                0.93876,                0.97062,                0.95754,                0.85828,                0.54335,                0.31035,                0.89158,             0.00077823,             0.00077823,             0.00077823
                    140,                0.47011,                0.30732,                0.96101,                0.95546,                0.96252,                0.97557,                0.88612,                0.49223,                0.30066,                0.81645,             0.00077352,             0.00077352,             0.00077352
                    141,                0.48761,                0.31125,                0.94739,                0.96044,                0.98158,                0.98004,                  0.878,                0.48602,                0.27435,                0.80641,              0.0007688,              0.0007688,              0.0007688
                    142,                0.46875,                0.30475,                 0.9315,                0.95316,                0.97917,                 0.9759,                0.87756,                0.49665,                0.31497,                 0.8141,             0.00076409,             0.00076409,             0.00076409
                    143,                0.45412,                0.30411,                0.93497,                0.91906,                0.96442,                0.97665,                0.87604,                0.48179,                0.37541,                0.81726,             0.00075937,             0.00075937,             0.00075937
                    144,                0.44466,                0.30123,                0.93515,                0.86421,                0.89307,                0.92559,                0.83745,                0.46319,                0.44183,                0.79629,             0.00075465,             0.00075465,             0.00075465
                    145,                0.47665,                0.31454,                0.94575,                0.91471,                0.96083,                0.96089,                0.86487,                0.47653,                0.34416,                0.79958,             0.00074994,             0.00074994,             0.00074994
                    146,                0.47106,                0.30337,                0.95342,                0.96447,                0.97456,                0.98212,                0.88862,                0.46905,                0.27764,                0.79941,             0.00074522,             0.00074522,             0.00074522
                    147,                0.45422,                0.29977,                0.92653,                0.97555,                0.98123,                 0.9842,                0.87812,                0.49431,                0.28276,                0.81095,             0.00074051,             0.00074051,             0.00074051
                    148,                0.48199,                0.31354,                0.95114,                0.95063,                0.97591,                 0.9826,                0.88729,                0.48568,                0.31057,                0.80565,             0.00073579,             0.00073579,             0.00073579
                    149,                0.46016,                 0.2912,                0.93906,                0.95056,                0.94065,                0.97159,                0.87653,                0.48012,                0.32849,                0.80975,             0.00073108,             0.00073108,             0.00073108
                    150,                0.46235,                 0.3042,                0.94772,                0.90704,                0.94028,                0.95878,                0.86019,                0.49102,                0.36376,                0.82022,             0.00072636,             0.00072636,             0.00072636
                    151,                0.45753,                0.30363,                 0.9277,                0.92147,                0.94616,                 0.9676,                0.87206,                0.47285,                0.34338,                0.81337,             0.00072164,             0.00072164,             0.00072164
                    152,                 0.4611,                0.31458,                0.94149,                0.91631,                0.96482,                 0.9693,                0.86915,                0.47431,                0.31455,                0.81598,             0.00071693,             0.00071693,             0.00071693
                    153,                0.47237,                 0.3124,                0.94634,                0.96756,                0.98537,                0.98487,                0.89176,                0.48529,                0.25988,                0.81789,             0.00071221,             0.00071221,             0.00071221
